t,s,v,a,gear
0.0,0.0,0.0,0.0,0.0
8.23259353666384,20.0,4.858727938668318,0.5901809295499021,1.0
11.967796921315326,40.0,5.850153260150214,0.26542639963125214,2.0
15.251010615151875,60.0,6.332948941898484,0.14704872833617366,3.0
18.302162184845855,80.0,6.776765241103107,0.14545762080825345,3.0
21.166314975401217,100.0,7.188873090617991,0.14388372949970518,3.0
23.875704820137777,120.0,7.574494771142443,0.1423268681263185,3.0
26.482561930250714,140.0,7.769447547512873,0.07478360388723956,4.0
29.14343042807271,160.0,7.263317252373802,-0.1902134421230719,4.0
31.826581349612113,180.0,7.644423516811787,0.14203583489385416,3.0
34.410304681951615,200.0,7.836902429719826,0.07449571971408561,4.0
37.04683159351365,220.0,7.334651405521909,-0.19049821131059996,4.0
39.70529946419856,240.0,7.711502909290943,0.14175414698695413,3.0
42.267208612442,260.0,7.901642886761158,0.074217079747513,4.0
44.88080139173274,280.0,7.4030403792798145,-0.19077383631639452,4.0
47.516016777478264,300.0,7.775877251475673,0.14148150431923592,3.0
50.174545091670836,320.0,7.270120208004775,-0.19024047977943678,4.0
52.85532284069164,340.0,7.650817696856523,0.14200908979233873,3.0
56.099752757329874,360.0,4.678018087126802,-0.9162789551761861,3.0
62.44991329636149,380.0,0.0,-0.736678137274421,1.0
70.68250683302533,400.0,4.858727938668318,0.5901809295499021,1.0
73.85396218157669,420.0,7.7537643668151,0.9128406168523874,3.0
76.40231333620703,440.0,7.9424475497218925,0.07404028059979317,4.0
78.89181909828581,460.0,8.124779311417086,0.07323914447869503,4.0
81.55198014897964,480.0,6.9119372523063545,-0.4559290569852694,4.0
84.3635152002807,500.0,7.3150669640307875,0.14338320271085722,3.0
87.02871556940578,520.0,7.693079680806177,0.1418317571744565,3.0
89.59657970721848,540.0,7.8838587621858,0.07429385017152354,4.0
92.21643139283523,560.0,7.384261176266561,-0.19069789656940478,4.0
94.85799224308208,580.0,7.7581942495926155,0.14155662237735786,3.0
97.40493042149448,600.0,7.946725470956215,0.0740216924083089,4.0
99.89313306545445,620.0,8.128916041355433,0.07322075741653528,4.0
102.5517123629589,640.0,6.916746793372627,-0.455947245094379,4.0
106.0018813474119,660.0,4.676906095743448,-0.6491983893807076,3.0
110.27237860707693,680.0,4.684202384832288,0.001707533841656758,2.0
114.12154777225236,700.0,5.707611494616563,0.2658769247852654,2.0
117.4798885733399,720.0,6.202951242824876,0.14749437868458898,3.0
120.59035539745464,740.0,6.656766638900209,0.14589844909780292,3.0
123.50284363660062,760.0,7.077099236341841,0.14431978790638686,3.0
126.25257973569333,780.0,7.46964938477658,0.14275820826157182,3.0
130.64799501850433,800.0,1.6307489934336479,-1.328407991297707,2.0
135.52907624937689,820.0,6.564148516404798,1.0107175866458615,2.0
138.4799640418636,840.0,6.991000403915384,0.14465102255314374,3.0
141.26158307387016,860.0,7.389013533746784,0.1430858588587016,3.0
143.90153529993322,880.0,7.762668756842774,0.14153763066424527,3.0
146.56487564474077,900.0,7.256144141277007,-0.19018496073685753,4.0
149.25053329540918,920.0,7.637682117182889,0.14206400810366657,3.0
151.8364691813232,940.0,7.830397923887219,0.07452358808204917,4.0
154.47532326433122,960.0,7.3277763248462175,-0.19047064448601295,4.0
157.13615079252205,980.0,7.7050348791043515,0.14178141553094656,3.0
159.70014751694387,1000.0,7.895398952412104,0.0742440532383886,4.0
162.31593425861513,1020.0,7.396447689959481,-0.1907471546860802,4.0
164.95337392084429,1040.0,7.769668868117029,0.14150789724700025,3.0
167.6141617951902,1060.0,7.263551433215826,-0.19021437243038183,4.0
170.29723095615768,1080.0,7.644643615570359,0.1420349146527242,3.0
172.88088211410118,1100.0,7.837114799866678,0.0744948094302168,4.0
175.51733311557558,1120.0,7.334875862377728,-0.1904991117449479,4.0
178.17572401707565,1140.0,7.711714087562733,0.1417532562955525,3.0
180.737565063362,1160.0,7.901846753516482,0.07421619869363638,4.0
183.35108627292,1180.0,7.403255621858392,-0.19077470783702682,4.0
185.98622910054974,1200.0,7.776079956618612,0.14148064222869566,3.0
188.64468370633566,1220.0,7.270334668366297,-0.19024133254192124,4.0
191.32538670846048,1240.0,7.65101928113686,0.142008246256978,3.0
193.90694889215007,1260.0,7.843266744417198,0.07446842959381897,4.0
196.54120288292438,1280.0,7.3413775940424975,-0.19052520614428856,4.0
199.19736613654706,1300.0,7.717831479638544,0.14172744424476186,3.0
201.7572359591996,1320.0,7.907752486361214,0.07419066593630709,4.0
204.3686856465673,1340.0,7.409490590630027,-0.19079996432292654,4.0
207.03178024829805,1360.0,7.610430160795054,0.0754524104926033,4.0
209.6266985060965,1380.0,7.804107061150957,0.07463599473918005,4.0
212.27500222762512,1400.0,7.2999800587342625,-0.19035945409970856,4.0
