152.42 	480.69 	52.26 	11.00 	1	10	0	-0.008641148	0	0
152.54 	480.72 	52.26 	11.03 	1	10	0	-0.008641148	0	0
152.64 	480.74 	52.26 	11.04 	1	10	0	-0.008641148	0	0
152.75 	480.76 	52.26 	11.05 	1	10	0	-0.008641148	0	0
152.85 	480.78 	52.26 	11.06 	1	10	0	-0.008641148	0	0
152.95 	480.80 	52.26 	11.07 	1	10	0	-0.008641148	0	0
153.04 	480.82 	52.26 	11.08 	1	10	0	-0.008641148	0	0
153.13 	480.84 	52.26 	11.10 	1	10	0	-0.008641148	0	0
153.22 	480.86 	52.26 	11.11 	1	10	0	-0.008641148	0	0
153.31 	480.88 	52.26 	11.13 	1	10	0	-0.008641148	0	0
153.39 	480.90 	52.26 	11.14 	1	10	0	-0.008641148	0	0
153.47 	480.91 	52.26 	11.16 	1	10	0	-0.008641148	0	0
153.55 	480.93 	52.26 	11.17 	1	10	0	-0.008641148	0	0
153.62 	480.95 	52.26 	11.19 	1	10	0	-0.008641148	0	0
153.70 	480.96 	52.26 	11.21 	1	10	0	-0.008641148	0	0
153.77 	480.98 	52.26 	11.23 	1	10	0	-0.008641148	0	0
153.84 	480.99 	52.26 	11.25 	1	10	0	-0.008641148	0	0
153.91 	481.01 	52.26 	11.26 	1	10	0	-0.008641148	0	0
153.98 	481.02 	52.26 	11.28 	1	10	0	-0.008641148	0	0
154.04 	481.04 	52.26 	11.30 	1	10	0	-0.008641148	0	0
154.10 	481.05 	52.26 	11.32 	1	10	0	-0.008641148	0	0
154.17 	481.06 	52.26 	11.35 	1	10	0	-0.008641148	0	0
154.23 	481.08 	52.26 	11.37 	1	10	0	-0.008641148	0	0
154.29 	481.09 	52.26 	11.40 	1	10	0	-0.008641148	0	0
154.35 	481.10 	52.26 	11.43 	1	10	0	-0.008641148	0	0
154.41 	481.12 	52.26 	11.47 	1	10	0	-0.008641148	0	0
154.47 	481.13 	52.26 	11.50 	1	10	0	-0.008641148	0	0
154.53 	481.14 	52.26 	11.54 	1	10	0	-0.008641148	0	0
154.59 	481.16 	52.26 	11.58 	1	10	0	-0.008641148	0	0
154.66 	481.17 	52.26 	11.63 	1	10	0	-0.008641148	0	0
154.72 	481.19 	52.26 	11.67 	1	10	0	-0.008641148	0	0
154.79 	481.20 	52.26 	11.71 	1	10	0	-0.008641148	0	0
154.86 	481.22 	52.26 	11.75 	1	10	0	-0.008641148	0	0
154.93 	481.23 	52.26 	11.79 	1	10	0	-0.008641148	0	0
155.00 	481.25 	52.26 	11.84 	1	10	0	-0.008641148	0	0
155.07 	481.26 	52.26 	11.88 	1	10	0	-0.008641148	0	0
155.14 	481.28 	52.26 	11.93 	1	10	0	-0.00892277	0	0
155.22 	481.30 	52.26 	11.97 	1	10	0	-0.009203511	0	0
155.29 	481.31 	52.26 	12.02 	1	10	0	-0.009482861	0	0
155.37 	481.33 	52.26 	12.07 	1	10	0	-0.009760233	0	0
155.44 	481.35 	52.26 	12.13 	1	10	0	-0.010034949	0	0
155.52 	481.37 	52.26 	12.18 	1	10	0	-0.010306329	0	0
155.59 	481.38 	52.26 	12.24 	1	10	0	-0.010574144	0	0
155.67 	481.40 	52.26 	12.30 	1	10	0	-0.010838351	0	0
155.74 	481.42 	52.26 	12.36 	1	10	0	-0.011098952	0	0
155.82 	481.44 	52.26 	12.42 	1	10	0	-0.011355994	0	0
155.90 	481.46 	52.26 	12.49 	1	10	0	-0.011609559	0	0
155.97 	481.47 	52.26 	12.55 	1	10	0	-0.011859757	0	0
156.05 	481.49 	52.26 	12.62 	1	10	0	-0.012106722	0	0
156.12 	481.51 	52.26 	12.69 	1	10	0	-0.012350605	0	0
156.20 	481.53 	52.26 	12.75 	1	10	0	-0.012591567	0	0
156.27 	481.55 	52.26 	12.83 	1	10	0	-0.012829779	0	0
156.35 	481.56 	52.26 	12.90 	1	10	0	-0.013065408	0	0
156.42 	481.58 	52.26 	12.97 	1	10	0	-0.013298621	0	0
156.50 	481.60 	52.26 	13.05 	1	10	0	-0.013529579	0	0
156.57 	481.62 	52.26 	13.12 	1	10	0	-0.013758431	0	0
156.65 	481.64 	52.26 	13.20 	1	10	0	-0.013985427	0	0
156.72 	481.66 	52.26 	13.28 	1	10	0	-0.014211261	0	0
156.80 	481.68 	52.26 	13.36 	1	10	0	-0.014436684	0	0
156.87 	481.70 	52.26 	13.44 	1	10	0	-0.014662366	0	0
156.95 	481.71 	52.26 	13.53 	1	10	0	-0.014888894	0	0
157.02 	481.73 	52.26 	13.61 	1	10	0	-0.015116772	0	0
157.09 	481.75 	52.26 	13.70 	1	10	0	-0.015346422	0	0
157.17 	481.77 	52.26 	13.78 	1	10	0	-0.015578179	0	0
157.24 	481.79 	52.26 	13.87 	1	10	0	-0.015812289	0	0
157.32 	481.81 	52.26 	13.96 	1	10	0	-0.016048906	0	0
157.39 	481.83 	52.26 	14.06 	1	10	0	-0.016288016	0	0
157.47 	481.85 	52.26 	14.15 	1	10	0	-0.016529258	0	0
157.54 	481.87 	52.26 	14.24 	1	10	0	-0.016772207	0	0
157.62 	481.89 	52.26 	14.34 	1	10	0	-0.017016475	0	0
157.69 	481.91 	52.26 	14.44 	1	10	0	-0.01726171	0	0
157.77 	481.93 	52.26 	14.54 	1	10	0	-0.017507604	0	0
157.84 	481.95 	52.26 	14.64 	1	10	0	-0.0177539	0	0
157.92 	481.97 	52.26 	14.74 	1	10	0	-0.018000396	0	0
157.99 	482.00 	52.26 	14.84 	1	10	0	-0.018246952	0	0
